second,timecode,yavg_raw,yavg_0_255,yp95_raw,yp95_0_255,ymax_raw,ymax_0_255,yp99_raw,yp99_0_255,yhot_0_255
0,00:00:00,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
1,00:00:01,0.07,0.0,0.00,0.0,9.00,0.0,1.00,0.0,0.0
2,00:00:02,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
3,00:00:03,0.06,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
4,00:00:04,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
5,00:00:05,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
6,00:00:06,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
7,00:00:07,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
8,00:00:08,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
9,00:00:09,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
10,00:00:10,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
11,00:00:11,0.06,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
12,00:00:12,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
13,00:00:13,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
14,00:00:14,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
15,00:00:15,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
16,00:00:16,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
17,00:00:17,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
18,00:00:18,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
19,00:00:19,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
20,00:00:20,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
21,00:00:21,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
22,00:00:22,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
23,00:00:23,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
24,00:00:24,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
25,00:00:25,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
26,00:00:26,0.07,0.0,0.00,0.0,8.00,0.0,1.00,0.0,0.0
